,c,g
1665,12763,1306
1666,10504,1306
1667,12779,1307
1668,11041,1307
1669,11030,1307
1670,10643,1308
1671,12845,1308
1672,7112,1308
1673,13037,1309
1674,7579,1309
1675,6455,1309
1676,10505,1310
1677,8725,1310
1678,11035,1310
1679,13043,1311
1680,11423,1311
1681,11976,1312
1682,9452,1312
1683,6892,1312
1684,37,1313
1685,8272,1313
1686,7577,1313
1687,11973,1314
1688,8316,1314
1689,9113,1316
1690,8013,1316
1691,12758,1316
1692,155,1317
1693,13885,1317
1694,14546,1317
1695,10968,1318
1696,10614,1318
1697,7680,1318
1698,10206,1319
1699,13619,1319
1700,9170,1319
1701,13763,1320
1702,13636,1320
1703,13805,1320
1704,12444,1321
1705,11557,1321
1706,13693,1321
1707,379,1322
1708,11045,1322
1709,11540,1322
1710,11898,1323
1711,13551,1323
1712,10780,1323
1713,8465,1324
1714,6117,1324
1715,3738,1324
1716,11296,1325
1717,14326,1326
1718,10917,1326
1719,14276,1326
1720,14594,1327
1721,14434,1327
1722,14147,1327
1723,9922,1328
1724,11094,1328
1725,9182,1328
1726,14674,1329
1727,14498,1329
1728,14614,1329
1729,14249,1330
1730,14424,1330
1731,12814,1330
1732,14608,1331
1733,57,1331
1734,13271,1331
1735,13206,1332
1736,10352,1332
1737,12735,1332
1738,10741,1333
1739,11513,1333
1740,13401,1333
1741,11491,1334
1742,237,1334
1743,12298,1334
1744,10311,1335
1745,11453,1335
1746,14433,1336
1747,12710,1336
1748,13851,1336
1749,13317,1337
1750,14507,1337
1751,13527,1337
1752,7518,1338
1753,12210,1339
1754,9999,1339
1755,5879,1339
1756,12825,1340
1757,10460,1340
1758,10783,1340
1759,11181,1341
1760,8151,1341
1761,9174,1341
1762,213,1342
1763,11798,1342
1764,650,1342
1765,9893,1343
1766,322,1343
1767,11898,1343
1768,8526,1344
1769,12802,1344
1770,11283,1344
1771,13083,1345
1772,171,1345
1773,12367,1345
1774,13440,1346
1775,199,1346
1776,9315,1346
1777,13413,1347
1778,12688,1347
1779,10150,1347
1780,11024,1348
1781,10391,1348
1782,8663,1348
