category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Highway 12 2014 SRB Red (Sonoma County),Red Blend,19.0,750 ml,88,Highway 12,"This is a fun, flavorful blend of 63% Merlot, 14% Syrah, 10% Cabernet Sauvignon, 9% Petit Verdot and 4% Malbec. Soft, juicy red fruit meets sizable tannin and leathery oak laced in vanilla.",13.9%
Red,US,Dewitt 2013 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,42.0,750 ml,88,Dewitt,"Smoky and soft, this boldly made wine is medium-bodied but burly in char, baked blackberry and cocoa powder, a hint of tobacco never far.",14.4%
Sparkling,US,Korbel NV Brut Sparkling (California),Sparkling Blend,14.0,750 ml,88,Korbel,"Earthy and doughy aromas lead to subtle, crisp apple and bright lemon flavors in this very good, go-to wine that has lasting fine-beaded bubbles. It tastes dry and refreshing and feels crisp and lively on the palate.",12%
Red,US,Winter's Hill 2015 Block 9 114 Pinot Noir (Dundee Hills),Pinot Noir,49.0,750 ml,88,Winter's Hill,"This single clone, single-block wine offers a well-defined, tight and concentrated streak of pretty cherry fruit. It's underpinned with minerality, and carries on through a clear, crisp finish.",13.8%
Red,US,Viszlay Vineyards 2013 Estate Pinot Noir (Russian River Valley),Pinot Noir,55.0,750 ml,88,Viszlay Vineyards,"This is a medium-bodied, densely packed estate wine, smoky and herbal in sage, tobacco and tea. The fruit finds its way in the form of bing cherry and strawberry, brighter, focused flavors that give it a lift on the palate.",14.3%
Red,US,Verdad 2014 Sawyer Lindquist Vineyard Garnacha (Edna Valley),Garnacha,30.0,750 ml,88,Verdad,"This is a very fresh and light take on the grape, with light red berry fruit and rocky minerals showing mostly on the nose. There is good energy to the sip, with tangy red fruit and rose petal flavors. A great wine for pairing with all kinds of cuisine.",13%
Red,US,Ocelli 2012 Grenache (Columbia Valley (WA)),Grenache,30.0,750 ml,88,Ocelli,"This is the inaugural release from this winery, which dedicates itself to the production of Grenache. A blend of fruit from Angiolina Farms (67%) and Upland Vineyard, it brings aromas of red plum, herb and spice that are followed by elegant, mouthwatering red-fruit flavors. It shows the variety's more delicate side.",13.9%
Red,US,Silver Totem 2014 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,19.0,750 ml,88,Silver Totem,"The aromas seem a bit muddled. The palate brings reserved blue-fruit flavors, with peanut shell notes on the finish.",13.5%
Red,US,Robert Ramsay 2014 Upland Vineyards Grenache (Snipes Mountain),Grenache,35.0,750 ml,88,Robert Ramsay,"Aromas of ripe red apple, spice and candied fruit are followed by cranberry flavors that are tart and pure in flavor and feel. It all wraps up with a sweet finish.",15.2%
Red,US,Ocelli 2012 Grenache (Columbia Valley (WA)),Grenache,30.0,750 ml,88,Ocelli,"This is the inaugural release from this winery, which dedicates itself to the production of Grenache. A blend of fruit from Angiolina Farms (67%) and Upland Vineyard, it brings aromas of red plum, herb and spice that are followed by elegant, mouthwatering red-fruit flavors. It shows the variety's more delicate side.",13.9%
Red,US,Le Vigne 2014 Ame de la Vigne Red (Paso Robles),Rhne-style Red Blend,43.0,750 ml,88,Le Vigne,Earthy aromas of bay leaf and garrigue lift the dried boysenberry fruit on the nose of this bottling. Tangy elderberry fruit and underripe boysenberry show on the sip alongside oregano and savory spices.,14.2%
Red,US,Kiona 2013 Estate Bottled Merlot (Red Mountain),Merlot,25.0,750 ml,88,Kiona,"Light aromas of barrel spice and red and black fruit are followed by sweet fruit flavors. It delivers enjoyment, but the flavors seem slightly dried out.",13.8%
Sparkling,US,Eola Hills 2015 Sparkling Chardonnay (Willamette Valley),Chardonnay,45.0,750 ml,88,Eola Hills,"This is labeled Methode Champenoise, though its time on the lees was minimal. It's a bit of a sourball, a mix of green apple and lemon, but would be a knockout with raw oysters.",12.1%
White,US,Dusted Valley 2015 Olsen Vineyard Chardonnay (Yakima Valley),Chardonnay,34.0,750 ml,88,Dusted Valley,Cream and spice aromas lead to a palate accented by peach and lees flavors that stretch out the finish.,13.6%
Red,US,Block Wines 2014 Discovery Vineyard Block 1 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,55.0,750 ml,88,Block Wines,"This wine comes from an up-and-coming vineyard site. Very varietal aromas of black cherry, herb and cedar give way to soft fruit flavors and lightly grainy tannins. The tart acidity keeps the interest high. Put it on the dinner table to see it at its best.",14.4%
Red,US,Basel Cellars 2013 Claret Red (Columbia Valley (WA)),Bordeaux-style Red Blend,25.0,750 ml,88,Basel Cellars,"This blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot offers aromas of cranberry, cherry, mesquite, vanilla and herb. The fruit flavors are sleek and elegant, lingering on the finish.",14.86%
Red,US,Vellum 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,85.0,750 ml,88,Vellum,"From grapes grown in Coombsville, this blends in tiny additions of Petit Verdot and Merlot. Earthy in leather and fresh compost, it remains light-bodied and dry, despite a large tannin presence, the finish marked by pencil shavings and herbs.",13.5%
Red,US,Winter's Hill 2015 Block 9 114 Pinot Noir (Dundee Hills),Pinot Noir,49.0,750 ml,88,Winter's Hill,"This single clone, single-block wine offers a well-defined, tight and concentrated streak of pretty cherry fruit. It's underpinned with minerality, and carries on through a clear, crisp finish.",13.8%
Red,US,Viszlay Vineyards 2013 Estate Pinot Noir (Russian River Valley),Pinot Noir,55.0,750 ml,88,Viszlay Vineyards,"This is a medium-bodied, densely packed estate wine, smoky and herbal in sage, tobacco and tea. The fruit finds its way in the form of bing cherry and strawberry, brighter, focused flavors that give it a lift on the palate.",14.3%
Red,US,Verdad 2014 Sawyer Lindquist Vineyard Garnacha (Edna Valley),Garnacha,30.0,750 ml,88,Verdad,"This is a very fresh and light take on the grape, with light red berry fruit and rocky minerals showing mostly on the nose. There is good energy to the sip, with tangy red fruit and rose petal flavors. A great wine for pairing with all kinds of cuisine.",13%
Red,US,Silver Totem 2014 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,19.0,750 ml,88,Silver Totem,"The aromas seem a bit muddled. The palate brings reserved blue-fruit flavors, with peanut shell notes on the finish.",13.5%
White,US,Santa Barbara Winery 2015 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,16.0,750 ml,88,Santa Barbara Winery,"Rounded aromas of nectarine, lemon blossoms and chalk are fresh and inviting, and there's the slightest hint of sweetness on the nose. The palate is wound up tightly on the sip, offering flashes of green pear, lime rind and a wet riverstone quality, extending a sour element deep into the finish.",13.7%
White,US,Santa Barbara Winery 2015 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,16.0,750 ml,88,Santa Barbara Winery,"Rounded aromas of nectarine, lemon blossoms and chalk are fresh and inviting, and there's the slightest hint of sweetness on the nose. The palate is wound up tightly on the sip, offering flashes of green pear, lime rind and a wet riverstone quality, extending a sour element deep into the finish.",13.7%
Red,US,Cambiata 2014 Aero Bos Red (Monterey),Red Blend,45.0,750 ml,91,Cambiata,"Veteran winemaker Eric Laumann pushes the varietal envelope by blending Dornfelder, Tannat, Cabernet Sauvignon and Syrah in this wine. Vanilla, baked black cherry, spice cake, cola and strawberry scents show on the nose, while the palate strikes a balance between judicious tannins and vibrant acidity, integrating red berry, baking spice, mulberry and dark chocolate flavors.",14.5%
White,US,Oberon 2015 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,18.0,750 ml,88,Oberon,"Both cold-tank fermented and barrel-fermented, this white shows steely aromas of lemon and fresh lime, its acidity bristling with mouthwatering succulence and a lightness of body.",13.7%
Red,US,Pondera 2013 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,36.0,750 ml,88,Pondera,"Cocoa, vanilla, and cherry aromas are followed by abundant black-cherry flavors supported by grainy slightly astringent tannins. It needs some time to settle in.",14.2%
Red,US,Bonair 2013 Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,13.0,750 ml,86,Bonair,"The aromas start out barrel forward, with notes of vanilla and wood spice followed by dried cherry and herb. The flavors are extremely sweet, seeming slightly dried out.",13.9%
Red,US,Roberts & Rogers 2013 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,100.0,750 ml,86,Roberts & Rogers,"This wine is thick and caramelized, a highly ripe expression of a warm, tannic vintage that shows no letting up on the palate. Black licorice and char season juicy blackberry and a taste of muddled chocolate.",15.4%
Red,US,Alexander Valley Vineyards 2014 Estate Grown Cabernet Franc (Alexander Valley),Cabernet Franc,28.0,750 ml,86,Alexander Valley Vineyards,"Chalky and thick, this varietal wine offers a wealth of herbal, vegetative qualities while remaining medium-bodied in the glass, supplemented in violet and cassis.",14%
Red,US,Acacia 2014 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50.0,750 ml,86,Acacia,"Brick in color, this vineyard-designate is thin and smooth, lightly spiced and earthy. Cardamom and blueberry figure in most prominently, with a back beat of minty sage.",14.5%
Rose,US,Z'IVO 2015 Ros of Pinot Noir (Eola-Amity Hills),Pinot Noir,25.0,750 ml,86,Z'IVO,"Some ross are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",13.2%
Red,US,Rock Wall 2014 Reserve Merlot (Stags Leap District),Merlot,75.0,750 ml,86,Rock Wall,"This high-end wine has a tenacious hold of earthiness, that exhibits as tomato leaf and dried herb. Full-bodied and densely concentrated, its tannins are smooth and fine, while the texture leans gravelly. Black pepper and leather characteristics are hard to ignore.",15.55%
Red,US,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,55.0,750 ml,86,Passaggio,"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",13.8%
Sparkling,US,Korbel NV Sweet Ros Sparkling (California),Sparkling Blend,14.0,750 ml,86,Korbel,"Full of strawberry and cherry flavor, this semisweet wine was bottle-fermented. It has a beautiful pink color, tastes extremely fruity, and feels simply fizzy and easy to drink. The sweetness helps all that fruit linger on the finish.",11%
Red,US,Acacia 2014 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50.0,750 ml,86,Acacia,"Brick in color, this vineyard-designate is thin and smooth, lightly spiced and earthy. Cardamom and blueberry figure in most prominently, with a back beat of minty sage.",14.5%
Red,US,Merriam 2014 Cuve Pinot Noir (Russian River Valley),Pinot Noir,28.0,750 ml,87,Merriam,"This simple wine has juicy blueberry and baked cherry flavors at its core, a lushness on the palate that is supported by firm tannins and oak.",14.4%
Rose,US,Vino La Monarcha 2016 Ros of Pinot Noir (Ancient Lakes),Pinot Noir,18.0,750 ml,87,Vino La Monarcha,"Pale pink in color, this wine brings aromas of strawberry Jolly Rancher and watermelon that are followed by a broad off-dry drinking palate. It delivers easy-drinking appeal.",13%
White,US,Spicy Vines 2016 Sunnydaze Sauvignon Blanc (Pine Mountain-Cloverdale Peak),Sauvignon Blanc,26.0,750 ml,87,Spicy Vines,"All stainless-steel fermented from grapes grown on a high-elevation site, this white offers a depth of green olive, dried herb and crisp apple within a context of moderate acidity.",13.2%
White,US,Mercer 2015 Chardonnay (Horse Heaven Hills),Chardonnay,13.0,750 ml,87,Mercer,"Aromas of vanilla, baking spice, custard and pear lead to dry straw flavors. It delivers easy-drinking pleasure.",13.9%
Red,US,Mercer 2014 Reserve Cavalie Red (Horse Heaven Hills),Bordeaux-style Red Blend,40.0,750 ml,87,Mercer,"Merlot (63%) makes up the majority of this wine, with the balance Cabernet Sauvignon (25%) and Malbec. Brooding aromas of herb, pencil lead, vanilla and spice are followed by dry dark-fruit flavors. The midpalate seems lacking, and the tannins show a touch of astringency.",14.7%
Red,US,Drumheller 2014 Cabernet Sauvignon (Columbia Valley (OR)),Cabernet Sauvignon,12.0,750 ml,86,Drumheller,"Aromas of milk chocolate, herb, plum and cherry are followed by a palate full of cherry and chocolate flavors that persist on the finish. The tannins bring astringency that provides some distraction.",14.5%
Red,US,Mercer 2014 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,19.0,750 ml,87,Mercer,"Barrel aromas are in the lead, with notes of toast, caf au lait, vanilla and caramel. The palate is full of cherry and barrel flavors, backed by lightly gritty tannins. Vanilla notes persist on the finish.",14.1%
Red,US,La Honda Winery 2014 Exponent Red (Santa Cruz Mountains),Red Blend,26.0,750 ml,87,La Honda Winery,"A light touch of cedar meets with black raspberry on this somewhat simple table wine. It's light and easy to quaff on the palate, with tangy dark red fruit but not much complexity, making it a great pizza wine.",13.8%
White,US,Kenwood 2015 Chardonnay (Sonoma County),Chardonnay,13.0,750 ml,87,Kenwood,"Rounded and likable, this is a bang-up deal for a wine of fine quality, textured, light and fruity in stone fruit and pineapple.",13.5%
Red,US,Gersing 2015 Pinot Noir (Eola-Amity Hills),Pinot Noir,34.0,750 ml,87,Gersing,"This offers light red fruits and a dusting of spices. It's modest and balanced, with proportionate tannins and a chocolate note from aging in French oak barrels. It's a light, pleasant, but nondescript wine.",14.2%
Rose,US,Eola Hills NV Ros (Oregon),Ros,15.0,750 ml,87,Eola Hills,"Lively strawberry-fruit flavors are at the heart of this gluggable wine. Bottled under screwcap to preserve freshness, it bears no indication of either vintage or grape. Enjoy it for what it isa fruity forward near-dry summertime sipping wine.",12%
Red,US,Archeus 2013 Two Storms Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,54.0,750 ml,87,Archeus,"A blend of fruit from up-and-coming Red Heaven and Scooteney Flats vineyards, this wine brings aromas of game, medicine cabinet and cherry. The fruit flavors are soft in feel, seeming somewhat dried out.",14.7%
Red,US,Angel Vine 2013 The Hellion Red (Columbia Valley (WA)),Red Blend,25.0,750 ml,87,Angel Vine,"This wine is a blend of Primitivo (46%), Petite Sirah (29%) and Zinfandel. Aromas of huckleberry, raspberry, herb and spice lead to sweet blue-fruit flavors that provide enjoyment.",14.6%
White,US,14 Hands 2015 Riesling (Washington),Riesling,10.0,750 ml,87,14 Hands,"Bright aromas of ripe peach, lime zest, flowers and canned pear lead to off-dry peach and apricot flavors. It brings a lot of appeal.",11.5%
Red,US,14 Hands 2014 The Reserve Syrah (Horse Heaven Hills),Syrah,30.0,750 ml,87,14 Hands,"Smoke, char and dark fruit aromas are followed by full-bodied blackberry flavors. The tannins bring some grittiness that holds it back.",15%
Red,US,Summers 2013 Petite Sirah (Knights Valley),Petite Sirah,40.0,750 ml,87,Summers,"Blueberry tops a hefty and robust foundation of vanilla syrup in this ripe wine, dusty in tannin and weighty on the long, oaky finish.",14.7%
Red,US,Z'IVO 2014 Pinot Noir (Eola-Amity Hills),Pinot Noir,45.0,750 ml,87,Z'IVO,"The scents and flavors are dominated by chocolate, right from the start. The mouthfeel is tight, and herbal notes come up ahead of the light red fruit. Whole cluster fermentation was employed, perhaps accounting for the woody accents in the tannins.",13.8%
Sparkling,US,Luna 2013 Bubbles Sparkling (Carneros),Sparkling Blend,42.0,750 ml,87,Luna,This is a high-strung sparkler made from equal parts Chardonnay and Pinot Noir. It has a stony texture that leans into rich flavors of brioche and honey.,12%
Red,US,Elkhorn Peak 2012 Estate Vineyard Pinot Noir (Napa Valley),Pinot Noir,38.0,750 ml,87,Elkhorn Peak,"Flat and mildly spicy, this is a light-bodied, fleshy red that offers moderately ripe layers of cherry, raspberry and vanilla.",13.8%
Red,US,Merriam 2014 Three Sons Pinot Noir (Russian River Valley),Pinot Noir,75.0,750 ml,87,Merriam,"Forest pine and sap are further accentuated by this wine's grip of smoky oak, partially offset by the ripeness of full-bodied baked cherry pie at its heart.",14.7%
Red,US,Gibbs 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,28.0,750 ml,87,Gibbs,"With small additions of Petit Verdot and Merlot, this is a robust, full-bodied and affordable red that's thickly tannic at first before allowing a defined sense of vanilla oak and black cherry to speak in unison.",14.5%
Red,US,Maddalena 2012 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,16.0,750 ml,87,Maddalena,"The nose on this bottling is fairly light, with tangy blackberry and graphite aromas most prominent. The palate is framed by a chalky tannins and a strong acidity, with more blackberry juice flavors and the slightest touch of tobacco.",13.9%
Red,US,Benessere 2014 Estate Black Glass Vineyard Zinfandel (St. Helena),Zinfandel,35.0,750 ml,87,Benessere,"Cherry, berry and smoke ride atop a sultry texture in this estate wine, 100% varietal. Leathery accents provide texture and additional weight as a buildup to a seamless, easygoing finish rides out.",14.8%
Red,US,Lawer 2014 Betsy's Vineyard Estate Syrah (Knights Valley),Syrah,32.0,750 ml,86,Lawer,"Robust in red berry and vanilla, this wine is big-boned and ripe, with a tartness under lying the fruit and a moderate structure.",14.7%
Red,US,Summers 2014 Two Acre Villa Andriana Vineyard Estate Zinfandel (Calistoga),Zinfandel,45.0,750 ml,86,Summers,"This is a smoky, earthy wine that's fully ripe and flush in juicy fruit. Cherry, blackberry and grilled mushrooms find cinnamon and cola flavors as a tart finish builds on the palate.",14.2%
Rose,US,14 Hands 2015 The Reserve Ros of Grenache (Horse Heaven Hills),Grenache,24.0,750 ml,86,14 Hands,"This watermelon-colored wine brings aromas of strawberry and herb. It drinks dry with a fleshy feel to the fruit flavors, needing a bit more acidity to stand it up.",13.5%
Red,US,Broken Earth 2012 Reserve Petit Verdot (Paso Robles),Petit Verdot,48.0,750 ml,86,Broken Earth,"Dust and leather meet with berry and wet concrete on the nose of this inky wine, which is fairly reserved in aromas for such a dense grape. Wet clay, graphite, coffee and blackberry show on the sip, but it's the moist dirt flavor that's more prevalent.",14.3%
Red,US,Barrelhouse 2015 Red (California),Red Blend,17.0,750 ml,86,Barrelhouse,"This wine is smooth and easy to drink, filled with red cherry, plum and milk chocolate flavors. It's on the soft side, has a touch of sweetness, and is not too full in body.",13.2%
Red,US,Angels & Cowboys 2014 Proprietary Red (Sonoma County),Red Blend,23.0,750 ml,86,Angels & Cowboys,"This is basic, full-bodied red juice, richly dense on the palate and buzzing in a current of dried herb and meaty game.",14.8%
Red,US,Wm. Harrison 2013 Estate Cabernet Franc (Rutherford),Cabernet Franc,65.0,750 ml,86,Wm. Harrison,"A 100% varietal wine, this is dusty and dense, concentrated in a pillowy tannin structure that grips the palate with force. Toasted oak plays strongman to quieter aspects of currant and berry.",14.2%
Red,US,Viszlay Vineyards 2012 Five Vines Red (Russian River Valley),Bordeaux-style Red Blend,49.0,750 ml,86,Viszlay Vineyards,"This wine is made from a majority Merlot, with sizable percentages of Cabernet Sauvignon, Malbec, Cabernet Franc and Petit Verdot. Together they weave a lean, simple gathering of red berry and dried herb, that finishes in toasted oak.",14.2%
Red,US,Treos 2013 Elegant Reserve Estate Pinot Noir (Willamette Valley),Pinot Noir,35.0,750 ml,86,Treos,"The dark fruits are all but buried by flavors of roasted coffee, charred wood and black licorice. Two bottles tasted, the second showed a bit more cherry, but again, the longer the wine remained open, the more the fruit disappeared. This is not the usual expression of Oregon Pinot Noirhere it's built for power above all else.",14.2%
Red,US,Mounts 2014 Estate Cabernet Franc (Dry Creek Valley),Cabernet Franc,45.0,750 ml,86,Mounts,"Caramelized chocolate and dust line the drive of this robustly ripe and concentrated red, that's ultimately unfussy in its approach. Soft in texture, it finishes in a strong grip of tannin.",15.2%
Red,US,Gen5 2014 Ancestral Red (California),Red Blend,10.0,750 ml,86,Gen5,"The meaty, spicy aromas of this medium-bodied wine are quickly followed by a flood of ripe, grapy fruit flavors that seem lightly sweet as they coat the sides of the mouth. It's big in flavor and rather soft and easy in texture.",14.2%
Rose,US,Vinum 2016 Ros (Paso Robles),Ros,14.0,750 ml,86,Vinum,"Tight citrus aromas meet with bubblegum and wet stone on the somewhat reserved though clean and inviting nose of this wine. The flavors are also quite light, with strawberry and lemon touches, so the point is more of the racy acidity and slight tannic grip.",13.5%
Red,US,TruthTeller 2014 The Madman Red (Columbia Valley (WA)),Red Blend,40.0,750 ml,86,TruthTeller,This wine is 60% Syrah with the rest equal parts Cabernet Sauvignon and Cabernet Franc. Aromas of blue fruit and glue are followed by light-bodied flavors that show astringency.,14.8%
White,US,Tamarack Cellars 2016 Chardonnay (Columbia Valley (WA)),Chardonnay,15.0,750 ml,86,Tamarack Cellars,"The aromas are bright, with notes of melon, pear and herb. It drinks dry, with tart lemony flavors. The concentration doesn't seem all there.",12.9%
Red,US,San Simeon 2013 Merlot (Paso Robles),Merlot,20.0,750 ml,86,San Simeon,"The aromas on this wine are a bit weak, showing hints of licorice and a touch of blueberry. The palate offers dark red to purple fruit, with a touch of more bitter coffee grinds. The tannins are squeaky in texture.",14.1%
Red,US,Plaisance Ranch 2014 Petite Sirah (Applegate Valley),Petite Sirah,25.0,750 ml,86,Plaisance Ranch,"Tart cranberry and boysenberry fruit takes center stage here, with substantial acids and astringent tannins backing it up. There are some off-notes also, a slightly sour, slightly sweaty aspect, that keeps this rating lower than it could be. Good fruit, but trouble in the cellar is the challenge to be overcome.",13.7%
Red,US,Cocobon 2014 Red (California),Red Blend,12.0,750 ml,86,Cocobon,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",13.5%
White,US,Palencia 2016 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,18.0,750 ml,86,Palencia,"Vibrant aromas of pineapple, kiwi and gummy bear lead to just off-dry drinking flavors. The concentration seems a bit lacking.",12.1%
Red,US,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,55.0,750 ml,86,Mellisoni,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",14.1%
Red,US,Lone Birch 2015 Red (Yakima Valley),Red Blend,13.0,750 ml,86,Lone Birch,"A blend of six different varieties with Merlot and Syrah taking the lead, this wine brings aromas of toast, matchstick and cherry. The flavors are luscious and full, backed by lightly tacky tannins.",14.2%
Red,US,Layer Cake 2015 Pinot Noir (Central Coast),Pinot Noir,16.0,750 ml,86,Layer Cake,Warm cherry pie and hibiscus notes meet with candied vanilla and cream soda elements on the nose of this bottling. The palate is rounded with red fruit and a clay minerality in the background.,14.5%
White,US,Cupcake 2015 Chardonnay (Monterey County),Chardonnay,12.0,750 ml,86,Cupcake,"Prominent oak aromas meet with baked apples and toasted cashew on the nose of this widely available bottling. There is solid acidity at the tip of the sip, but then the sweet oaky elements take hold, adding hints of smoke to the candied lemon flavors.",13.5%
White,US,Columbia Crest 2015 Grand Estates Unoaked Chardonnay (Columbia Valley (WA)),Chardonnay,12.0,750 ml,86,Columbia Crest,Light aromas of apple and pear lead to broad dry flavors. It delivers easy-drinking appeal.,13.5%
Red,US,Argot 2013 Hawk Hill Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,60.0,750 ml,86,Argot,"Reduced initially, this wine shows a feral herbal side, a sign of its cool-climate sourcing, which provides a funky personality. Mushroom, clove and a thickness of earth all make a play to be center of attention.",14.6%
Red,US,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,100.0,750 ml,86,Okapi,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",15.2%
Red,US,Cocobon 2014 Red (California),Red Blend,12.0,750 ml,86,Cocobon,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",13.5%
Red,US,Summers 2014 Two Acre Villa Andriana Vineyard Estate Zinfandel (Calistoga),Zinfandel,45.0,750 ml,86,Summers,"This is a smoky, earthy wine that's fully ripe and flush in juicy fruit. Cherry, blackberry and grilled mushrooms find cinnamon and cola flavors as a tart finish builds on the palate.",14.2%
White,US,Viszlay Vineyards 2012 The 809 Estate Chardonnay (Russian River Valley),Chardonnay,48.0,750 ml,86,Viszlay Vineyards,"Cloudy in color and intense in acidity, this estate wine shows a richness of apple, pear and anise, cradled in oak, that finishes tartly.",14%
Red,US,TruthTeller 2014 Satire Red (Yakima Valley),Bordeaux-style Red Blend,35.0,750 ml,86,TruthTeller,"Merlot (44%) and Cabernet Franc (30%) make up the majority of this wine, with the balance Cabernet Sauvignon, Malbec and Petit Verdot. Aromas of baking spice and blue fruit are followed by cocoa powder and blue fruit flavors. It comes off as quite dry.",14.8%
White,US,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,26.0,750 ml,86,Sevtap,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",14.4%
Red,US,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,46.0,750 ml,86,Basel Cellars,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",15.29%
Red,US,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,100.0,750 ml,86,Okapi,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",15.2%
White,US,Mercer 2015 Reserve Chardonnay (Horse Heaven Hills),Chardonnay,30.0,750 ml,86,Mercer,"Aromas of vanilla, butter and barrel spice are followed by lightly styled fruit and barrel flavors. The concentration seems faint.",13.9%
Red,US,Plaisance Ranch 2014 Clone 828 Pinot Noir (Applegate Valley),Pinot Noir,30.0,750 ml,88,Plaisance Ranch,"Chunky and fruity, this offers broad flavors of black cherry cola, with a dark, toasty edge. It's open and bold, Pinot done in a rustic yet quite flavorful style.",13.9%
Red,US,Viszlay Vineyards 2011 Winemaker's Reserve Malbec (Russian River Valley),Malbec,98.0,750 ml,87,Viszlay Vineyards,"Dusty red fruit dominates in this otherwise muted, mellowed and somewhat demure estate wine, soft in texture and approach that cranks in acidity.",13.9%
Red,US,Plaisance Ranch 2014 Papa Joe's Private Stash Pinot Noir (Applegate Valley),Pinot Noir,25.0,750 ml,87,Plaisance Ranch,"A bit lighter in 2014 than in past vintages, this puts an accent on light raspberry fruit, with a strong flavor of caraway seeds running down the spine. There's ample acidity, and a hint of fresh-baked bread.",13.8%
Red,US,Obsession 2014 Red (California),Red Blend,15.0,750 ml,87,Obsession,"Attractive, smoky, peppery aromas are followed by rich plum and red cherry flavors in this medium-bodied, lightly tannic wine. It has good balance overall, a hint of sweetness and just enough grip to keep it fresh on the palate.",13.5%
Red,US,Mazzocco 2014 Beasley Zinfandel (Dry Creek Valley),Zinfandel,34.0,750 ml,87,Mazzocco,"Ripe and plummy in explosive fruit and heat, this wine shows cherry-berry jamminess wrapped in a leathery, meaty package dusted in cinnamon and brown sugar.",15.5%
Sparkling,US,Finke's Widow 2016 Sparkling (California),Sparkling Blend,14.0,750 ml,87,Finke's Widow,"This is a fresh-tasting, dry bubbly whose aromas and flavors are very appley, herbal and effusive, accented by hints of clove. While crisp on the first sip, it feels reasonably soft and smooth on the tongue, and the fine bubbles are easy to sip and swallow.",15.2%
Red,US,Eco Terreno 2013 Three Vine Red (Alexander Valley),Bordeaux-style Red Blend,27.0,750 ml,87,Eco Terreno,"Aged in American oak, this blend of Merlot, Cabernet Franc and Petit Verdot offers a straightforward enjoyment of blackberry, tar and tobacco leaf with a side of bacon. Thick and bittersweet in tannin, it's an affordable red that will please many palates.",14.2%
Red,US,Gracianna 2014 Estate Mercedes Riverblock Pinot Noir (Russian River Valley),Pinot Noir,64.0,750 ml,87,Gracianna,"A rustic nose gives way to a touch of clove and Asian spice, as full-bodied, robustly ripe baked plum and cherry generously provide flavor and power on the palate. The spiciness lingers on the finish.",15.4%
