"12/14 1:00 ET" "Green Bay" -3.5 "At Buffalo" 50 "-$185 +$165" 2014 15
"12/14 4:25 ET" "At Detroit" -8 Minnesota 42 "-$390 +$320" 2014 15
"12/14 4:05 ET" "NY Jets" -3 "At Tennessee" 41.5 "-$175 +$155" 2014 15
"12/14 4:05 ET" Denver -4 "At San Diego" 49.5 "-$210 +$180" 2014 15
"12/14 4:25 ET" "At Seattle" -9.5 "San Francisco" 38.5 "-$500 +$400" 2014 15
"12/14 8:30 ET" "At Philadelphia" -3.5 Dallas 55 "-$175 +$155" 2014 15
"12/15 8:30 ET" "New Orleans" -3.5 "At Chicago" 53.5 "-$185 +$165" 2014 15
"12/12 8:25 ET" "At Denver" -10 "San Diego" 57.5 "-$575 +$425" 2013 15
"12/15 1:00 ET" "At Atlanta" -5.5 Washington 49.5 "-$255 +$215" 2013 15
"12/15 1:00 ET" "San Francisco" -5 "At Tampa Bay" 41 "-$250 +$210" 2013 15
"12/15 4:25 ET" Arizona -3 "At Tennessee" 43 "-$150 +$130" 2013 15
"12/15 4:25 ET" "New Orleans" -7 "At St. Louis" 48 "-$300 +$250" 2013 15
"12/15 1:00 ET" Seattle -9 "At NY Giants" 43 "-$440 +$350" 2013 15
"12/15 1:00 ET" Chicago -1 "At Cleveland" 44 "-$115 -$105" 2013 15
"12/15 1:00 ET" "At Indianapolis" -6 Houston 47 "-$260 +$220" 2013 15
"12/15 1:00 ET" Buffalo -4 "At Jacksonville" 43.5 "-$205 +$175" 2013 15
"12/15 1:00 ET" "At Miami" -2.5 "New England" 47 "-$140 +$120" 2013 15
"12/15 1:00 ET" Philadelphia -6.5 "At Minnesota" 53 "-$290 +$240" 2013 15
"12/15 4:05 ET" "At Carolina" -10 "NY Jets" 40.5 "-$525 +$400" 2013 15
"12/15 4:05 ET" "Kansas City" -6.5 "At Oakland" 44.5 "-$265 +$225" 2013 15
"12/15 4:25 ET" "At Dallas" -5.5 "Green Bay" 50 "-$245 +$205" 2013 15
"12/15 8:30 ET" Cincinnati -2 "At Pittsburgh" 44.5 "-$130 +$110" 2013 15
"12/16 8:40 ET" "At Detroit" -5 Baltimore 49.5 "-$230 +$190" 2013 15
"12/13 8:25 ET" Cincinnati -5 "At Philadelphia" 45 "-$235 +$195" 2012 15
"12/16 1:00 ET" "Green Bay" -3 "At Chicago" 43.5 "-$150 +$130" 2012 15
"12/16 1:00 ET" "At Atlanta" -1 "NY Giants" 50 "-$120 +$100" 2012 15
"12/16 1:00 ET" "At New Orleans" -3.5 "Tampa Bay" 55 "-$200 +$170" 2012 15
"12/16 1:00 ET" "At St. Louis" -2.5 Minnesota 39.5 "-$145 +$125" 2012 15
"12/16 1:00 ET" "At Cleveland" -4 Washington 40.5 "-$230 +$190" 2012 15
"12/16 1:00 ET" "At Miami" -7.5 Jacksonville 38.5 "-$360 +$300" 2012 15
"12/16 1:00 ET" Denver -3 "At Baltimore" 48 "-$150 +$130" 2012 15
"12/16 1:00 ET" "At Houston" -10.5 Indianapolis 48 "-$600 +$450" 2012 15
"12/16 4:05 ET" "At San Diego" -3 Carolina 45.5 "-$160 +$140" 2012 15
"12/16 4:05 ET" Seattle -4.5 "At Buffalo" 44 "-$230 +$190" 2012 15
"12/16 4:05 ET" Detroit -5.5 "At Arizona" 43.5 "-$270 +$230" 2012 15
"12/16 4:25 ET" Pittsburgh -2 "At Dallas" 46 "-$140 +$120" 2012 15
"12/16 4:25 ET" "At Oakland" -4 "Kansas City" 43.5 "-$225 +$190" 2012 15
"12/16 8:30 ET" "At New England" -4 "San Francisco" 47.5 "-$210 +$180" 2012 15
"12/17 8:40 ET" "NY Jets" -1 "At Tennessee" 40.5 "-$120 +$100" 2012 15
"12/15 8:25 ET" "At Atlanta" -13.5 Jacksonville 41.5 "-$975 +$675" 2011 15
"12/17 8:20 ET" Dallas -7.5 "At Tampa Bay" 47 "-$370 +$310" 2011 15
"12/18 1:00 ET" "At NY Giants" -6 Washington 45.5 "-$265 +$225" 2011 15
"12/18 1:00 ET" "Green Bay" -11.5 "At Kansas City" 46 "-$725 +$525" 2011 15
"12/18 1:00 ET" "New Orleans" -7 "At Minnesota" 53.5 "-$350 +$290" 2011 15
"12/18 1:00 ET" "At Chicago" -3.5 Seattle 35 "-$195 +$170" 2011 15
"12/18 1:00 ET" "At Buffalo"  Miami 42.5 "-$110 -$110" 2011 15
"12/18 1:00 ET" "At Houston" -5 Carolina 45 "-$240 +$200" 2011 15
"12/18 1:00 ET" Tennessee -6.5 "At Indianapolis" 41.5 "-$300 +$250" 2011 15
"12/18 1:00 ET" Cincinnati -7 "At St. Louis" 39 "-$330 +$270" 2011 15
"12/18 4:05 ET" Detroit -3 "At Oakland" 47.5 "-$145 +$125" 2011 15
"12/18 4:15 ET" "New England" -7 "At Denver" 47.5 "-$345 +$285" 2011 15
"12/18 4:15 ET" "At Philadelphia" -3 "NY Jets" 44 "-$160 +$140" 2011 15
"12/18 4:15 ET" "At Arizona" -6 Cleveland 37 "-$270 +$230" 2011 15
"12/18 8:30 ET" Baltimore -1 "At San Diego" 45 "-$120 +$100" 2011 15
"12/19 8:35 ET" "At San Francisco" -3 Pittsburgh 37 "-$165 +$145" 2011 15
"12/16 8:20 ET" "At San Diego" -10 "San Francisco" 44.5 "-$600 +$450" 2010 15
"12/19 1:00 ET" "At St. Louis" -3 "Kansas City" 42.5 "-$150 +$130" 2010 15
"12/19 1:00 ET" "At Tennessee" -1.5 Houston 47 "-$130 +$110" 2010 15
"12/19 1:00 ET" "At Indianapolis" -4.5 Jacksonville 48 "-$220 +$185" 2010 15
"12/19 1:00 ET" "At Carolina" -2.5 Arizona 37.5 "-$140 +$120" 2010 15
"12/19 1:00 ET" "At Cincinnati" PK Cleveland 41.5 "-$110 -$110" 2010 15
"12/19 1:00 ET" "At Miami" -5.5 Buffalo 40 "-$250 +$210" 2010 15
"12/19 1:00 ET" "At NY Giants" -3 Philadelphia 47 "-$155 +$135" 2010 15
"12/19 1:00 ET" "At Dallas" -9.5 Washington 44 "-$450 +$360" 2010 15
"12/19 1:00 ET" "At Tampa Bay" -4 Detroit 43 "-$210 +$175" 2010 15
"12/19 1:00 ET" "At Baltimore" -2 "New Orleans" 45 "-$135 +$115" 2010 15
"12/19 4:05 ET" Atlanta -5.5 "At Seattle" 46.5 "-$250 +$210" 2010 15
"12/19 4:15 ET" "At Pittsburgh" -3.5 "NY Jets" 36 "-$190 +$165" 2010 15
"12/19 4:15 ET" "At Oakland" -8 Denver 41.5 "-$380 +$315" 2010 15
"12/19 8:20 ET" "At New England" -14.5 "Green Bay" 43.5 "-$1000 +$700" 2010 15
"12/20 8:35 ET" Chicago -5.5 "At Minnesota
" 34.5 "-$245 +$205" 2010 15
"12/17 8:20 ET" Indianapolis -3 "At Jacksonville" 43 "-$175 +$155" 2009 15
"12/19 8:20 ET" "At New Orleans" -7.5 Dallas 53.5 "-$350 +$280" 2009 15
"12/20 4:15 ET" "At Pittsburgh" -3 "Green Bay" 42 "-$145 +$125" 2009 15
"12/20 1:00 ET" "At Tennessee" -5 Miami 43 "-$230 +$190" 2009 15
"12/20 1:00 ET" "New England" -7 "At Buffalo" 41 "-$325 +$255" 2009 15
