Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
02/11/16,0.014636,0.014639,0.014638,0.00,-0.70,-93.00,0.014638,0.014638
02/10/16,0.014739,0.014742,0.014741,0.00,0.18,-92.95,0.014741,0.014741
02/09/16,0.014712,0.014715,0.014713,0.00,-0.05,-92.96,0.014713,0.014713
02/08/16,0.014720,0.014722,0.014721,0.00,-0.35,-92.96,0.014721,0.014721
02/05/16,0.014772,0.014774,0.014773,0.00,-0.05,-92.93,0.014773,0.014773
02/04/16,0.014780,0.014782,0.014781,0.00,0.69,-92.93,0.014781,0.014781
02/03/16,0.014679,0.014681,0.014680,0.00,-0.21,-92.98,0.014680,0.014680
02/02/16,0.014711,0.014712,0.014712,0.00,-0.19,-92.96,0.014712,0.014712
02/01/16,0.014738,0.014741,0.014739,0.00,0.05,-92.95,0.014739,0.014739
01/29/16,0.014731,0.014734,0.014732,0.00,0.50,-92.95,0.014732,0.014732
01/28/16,0.014658,0.014661,0.014660,0.00,-0.25,-92.99,0.014660,0.014660
01/27/16,0.014695,0.014697,0.014696,0.00,-0.38,-92.97,0.014696,0.014696
01/26/16,0.014751,0.014754,0.014753,0.00,0.00,-92.94,0.014753,0.014753
01/25/16,0.014751,0.014754,0.014753,0.00,-0.20,-92.94,0.014753,0.014753
01/22/16,0.014781,0.014783,0.014782,0.00,0.46,-92.93,0.014782,0.014782
01/21/16,0.014713,0.014716,0.014715,0.00,0.04,-92.96,0.014715,0.014715
01/20/16,0.014708,0.014710,0.014709,0.00,-0.51,-92.96,0.014709,0.014709
01/19/16,0.014783,0.014785,0.014784,0.00,0.07,-92.93,0.014784,0.014784
01/18/16,0.014773,0.014775,0.014774,0.00,-0.06,-92.93,0.014774,0.014774
01/15/16,0.014781,0.014784,0.014783,0.00,-0.61,-92.93,0.014783,0.014783
01/14/16,0.014872,0.014874,0.014873,0.00,-0.62,-92.88,0.014873,0.014873
01/13/16,0.014964,0.014967,0.014966,0.00,0.08,-92.84,0.014966,0.014966
01/12/16,0.014952,0.014954,0.014953,0.00,-0.14,-92.84,0.014953,0.014953
01/11/16,0.014973,0.014976,0.014975,0.00,-0.16,-92.83,0.014975,0.014975
01/08/16,0.014998,0.014999,0.014998,0.00,0.34,-92.82,0.014998,0.014998
01/07/16,0.014947,0.014949,0.014948,0.00,-0.14,-92.85,0.014948,0.014948
01/06/16,0.014968,0.014971,0.014970,0.00,-0.28,-92.84,0.014970,0.014970
01/05/16,0.015010,0.015012,0.015011,0.00,-0.05,-92.82,0.015011,0.015011
01/04/16,0.015017,0.015020,0.015018,0.00,-0.64,-92.81,0.015018,0.015018
01/01/16,0.015115,0.015117,0.015116,0.00,0.00,-92.77,0.015116,0.015116
12/31/15,0.015115,0.015117,0.015116,0.00,0.35,-92.77,0.015116,0.015116
12/30/15,0.015063,0.015065,0.015064,0.00,0.03,-92.79,0.015064,0.015064
12/29/15,0.015058,0.015060,0.015059,0.00,-0.32,-92.79,0.015059,0.015059
12/28/15,0.015106,0.015108,0.015107,0.00,0.03,-92.77,0.015107,0.015107
12/25/15,0.015101,0.015103,0.015102,0.00,0.00,-92.77,0.015102,0.015102
12/24/15,0.015101,0.015103,0.015102,0.00,0.00,-92.77,0.015102,0.015102
12/23/15,0.015101,0.015103,0.015102,0.00,0.19,-92.77,0.015102,0.015102
12/22/15,0.015073,0.015076,0.015074,0.00,-0.01,-92.79,0.015074,0.015074
12/21/15,0.015074,0.015077,0.015076,0.00,0.13,-92.79,0.015076,0.015076
12/18/15,0.015055,0.015057,0.015056,0.00,0.06,-92.80,0.015056,0.015056
12/17/15,0.015046,0.015048,0.015047,0.00,0.49,-92.80,0.015047,0.015047
12/16/15,0.014973,0.014976,0.014975,0.00,0.26,-92.83,0.014975,0.014975
12/15/15,0.014934,0.014937,0.014935,0.00,0.23,-92.85,0.014935,0.014935
12/14/15,0.014900,0.014903,0.014901,0.00,-0.35,-92.87,0.014901,0.014901
12/11/15,0.014953,0.014956,0.014954,0.00,-0.13,-92.84,0.014954,0.014954
12/10/15,0.014972,0.014975,0.014973,0.00,0.19,-92.84,0.014973,0.014973
12/09/15,0.014944,0.014946,0.014945,0.00,-0.16,-92.85,0.014945,0.014945
12/08/15,0.014968,0.014971,0.014970,0.00,-0.10,-92.84,0.014970,0.014970
12/07/15,0.014985,0.014986,0.014985,0.00,0.06,-92.83,0.014985,0.014985
12/04/15,0.014975,0.014977,0.014976,0.00,-0.17,-92.83,0.014976,0.014976
12/03/15,0.015000,0.015003,0.015001,0.00,-0.05,-92.82,0.015001,0.015001
12/02/15,0.015008,0.015011,0.015009,0.00,-0.11,-92.82,0.015009,0.015009
12/01/15,0.015025,0.015027,0.015026,0.00,0.16,-92.81,0.015026,0.015026
11/30/15,0.015002,0.015004,0.015003,0.00,0.12,-92.82,0.015003,0.015003
11/27/15,0.014984,0.014985,0.014984,0.00,-0.20,-92.83,0.014984,0.014984
11/26/15,0.015013,0.015015,0.015014,0.00,-0.37,-92.82,0.015014,0.015014
11/25/15,0.015068,0.015070,0.015069,0.00,0.00,-92.79,0.015069,0.015069
11/24/15,0.015068,0.015070,0.015069,0.00,0.15,-92.79,0.015069,0.015069
11/23/15,0.015045,0.015047,0.015046,0.00,-0.43,-92.80,0.015046,0.015046
11/20/15,0.015110,0.015113,0.015111,0.00,0.04,-92.77,0.015111,0.015111
11/19/15,0.015105,0.015107,0.015106,0.00,0.17,-92.77,0.015106,0.015106
11/18/15,0.015078,0.015081,0.015080,0.00,-0.39,-92.78,0.015080,0.015080
11/17/15,0.015138,0.015140,0.015139,0.00,-0.08,-92.76,0.015139,0.015139
11/16/15,0.015149,0.015153,0.015151,0.00,0.24,-92.75,0.015151,0.015151
11/13/15,0.015114,0.015116,0.015115,0.00,0.40,-92.77,0.015115,0.015115
11/12/15,0.015053,0.015055,0.015054,0.00,0.00,-92.80,0.015054,0.015054
11/11/15,0.015053,0.015055,0.015054,0.00,0.00,-92.80,0.015054,0.015054
11/10/15,0.015053,0.015055,0.015054,0.00,-0.05,-92.80,0.015054,0.015054
11/09/15,0.015060,0.015063,0.015061,0.00,-0.92,-92.79,0.015061,0.015061
11/06/15,0.015200,0.015202,0.015201,0.00,-0.07,-92.73,0.015201,0.015201
11/05/15,0.015210,0.015213,0.015211,0.00,-0.37,-92.72,0.015211,0.015211
11/04/15,0.015267,0.015270,0.015268,0.00,0.24,-92.69,0.015268,0.015268
11/03/15,0.015231,0.015233,0.015232,0.00,-0.10,-92.71,0.015232,0.015232
